alpha,cl,cd
-180.0,0.0,0.001
-179.21928571428572,0.05284655000000003,0.001
-179.14285714285714,0.05802000000000057,0.001
-179.1357142857143,0.05850349999999931,0.001
-179.1342857142857,0.058600200000000595,0.001
-179.1185714285714,0.05966390000000129,0.001
-178.4385714285714,0.10569310000000214,0.001
-178.2857142857143,0.11603999999999941,0.001
-178.27142857142857,0.1170070000000007,0.001
-178.26857142857142,0.11720040000000134,0.001
-178.23714285714286,0.11932780000000072,0.001
-177.65785714285715,0.15853964999999887,0.001
-177.42857142857142,0.17406,0.001
-177.40714285714284,0.17551050000000004,0.001
-177.40285714285713,0.17580060000000006,0.001
-177.35571428571427,0.1789917000000002,0.001
-176.87714285714287,0.2113861999999984,0.001
-176.57142857142856,0.23208000000000056,0.001
-176.54285714285714,0.23401399999999936,0.0010915835988711726
-176.53714285714284,0.23440080000000066,0.00110990031864548
-176.4742857142857,0.23865559999999958,0.001311384236162133
-176.09642857142856,0.26423275000000046,0.0025225773312341796
-175.71428571428572,0.2900999999999994,0.0037475079661368205
-175.67857142857144,0.2925174999999989,0.003900909466473425
-175.67142857142858,0.2930009999999995,0.0039315897665407945
-175.59285714285716,0.2983194999999991,0.004269073067281373
-175.31571428571428,0.31707930000000056,0.005459468709893781
-174.85714285714286,0.34812,0.0074291439742161835
-174.8142857142857,0.351021000000002,0.007646305646527101
-174.8057142857143,0.35160120000000017,0.007689737980989111
-174.71142857142857,0.35798340000000045,0.008167493660072814
-174.535,0.36992585000000067,0.009061475877752141
-174.00000000000003,0.40613999999999884,0.011772377420431366
-173.95,0.40952450000000146,0.012064099365441146
-173.94,0.41020140000000077,0.012122443754443003
-173.83,0.41764729999999956,0.012764232033463925
-173.75428571428571,0.42277240000000027,0.013205982407335599
-173.14285714285714,0.46415999999999935,0.016773325049166676
-173.0857142857143,0.4680279999999989,0.017150271082902038
-173.0742857142857,0.46880159999999954,0.017225660289649187
-172.97357142857143,0.4756189499999989,0.01789002767410778
-172.94857142857143,0.47731119999999927,0.01805494156386706
-172.28571428571428,0.52218,0.02242751555519786
-172.22142857142856,0.5265315000000002,0.02290019390742914
-172.20857142857142,0.5274018000000003,0.0229947295778754
-172.19285714285712,0.5284655000000009,0.02311027317508756
-172.06714285714284,0.5369751000000007,0.02403462195278422
