alpha,cl,cd
-180.0,0.0,0.001
-179.21928571428572,0.05710014166666669,0.001
-179.14285714285714,0.0626900000000006,0.001
-179.1357142857143,0.06321241666666591,0.001
-179.1342857142857,0.06331690000000063,0.001
-179.1185714285714,0.06446621666666805,0.001
-178.4385714285714,0.11420028333333562,0.001
-178.2857142857143,0.12537999999999935,0.001
-178.27142857142857,0.1264248333333341,0.001
-178.26857142857142,0.12663380000000143,0.001
-178.23714285714286,0.1289324333333341,0.001
-177.65785714285715,0.17130042499999878,0.001
-177.42857142857142,0.18807,0.001
-177.40714285714284,0.18963725000000006,0.001
-177.40285714285713,0.18995070000000008,0.001
-177.35571428571427,0.19339865000000023,0.001
-176.87714285714287,0.22840056666666494,0.001
-176.57142857142856,0.25076000000000065,0.001
-176.54285714285714,0.25284966666666603,0.001
-176.53714285714284,0.25326760000000076,0.001
-176.4742857142857,0.25786486666666625,0.001
-176.09642857142856,0.28550070833333385,0.001
-175.71428571428572,0.31344999999999934,0.001
-175.67857142857144,0.3160620833333321,0.001
-175.67142857142858,0.3165844999999995,0.001
-175.59285714285716,0.3223310833333324,0.001
-175.31571428571428,0.3426008500000006,0.001
-174.85714285714286,0.37614,0.001
-174.8142857142857,0.3792745000000022,0.001
-174.8057142857143,0.37990140000000017,0.001
-174.71142857142857,0.38679730000000045,0.001
-174.535,0.3997009916666674,0.001
-174.00000000000003,0.4388299999999987,0.001
-173.95,0.4424869166666682,0.001
-173.94,0.44321830000000084,0.001
-173.83,0.4512635166666662,0.001
-173.75428571428571,0.4568011333333336,0.001
-173.14285714285714,0.5015199999999993,0.001
-173.0857142857143,0.5056993333333322,0.001
-173.0742857142857,0.5065351999999995,0.001
-172.97357142857143,0.5139012749999988,0.001
-172.94857142857143,0.5157297333333326,0.001
-172.28571428571428,0.56421,0.001
-172.22142857142856,0.5689117500000002,0.001
-172.20857142857142,0.5698521000000002,0.001
-172.19285714285712,0.5710014166666677,0.001
-172.06714285714284,0.5801959500000007,0.001
-171.42857142857144,0.6268999999999987,0.001
-171.41214285714284,0.6281015583333345,0.001
-171.35714285714283,0.6321241666666684,0.001
-171.34285714285713,0.633169000000001,0.001
-171.18571428571428,0.6446621666666668,0.001
-170.6314285714286,0.685201699999999,0.001
-170.57142857142858,0.6895899999999993,0.001
-170.49285714285713,0.6953365833333343,0.001565033862065291
-170.47714285714284,0.6964859000000017,0.0016780406344783904
-170.30428571428573,0.7091283833333327,0.0029211151310214586
-169.85071428571428,0.7423018416666679,0.006182901516579432
-169.71428571428572,0.75228,0.007164005767983303
-169.62857142857143,0.758549,0.007995291564408702
-169.61142857142858,0.7598028,0.008161548723693781
-169.42285714285714,0.7735946000000002,0.009990377475829659
-169.07,0.7994019833333332,0.013412504004447458
-168.85714285714286,0.8149699999999988,0.015476863732237015
-168.7642857142857,0.8217614166666664,0.016445703494578124
-168.74571428571429,0.8231196999999991,0.01663947144704623
-168.54142857142858,0.838060816666665,0.018770918924196255
-168.0,0.8776599999999993,0.0244199999999999
-167.89999999999998,0.8751294027178015,0.025728365452617568
-167.88,0.8746232832613625,0.025990038543140803
-167.66,0.8690559692405285,0.028868442538899003
-163.42214285714286,0.7618128715599836,0.08431510132731934
-162.42857142857144,0.7366695799918669,0.09731464664582459
-162.33571428571426,0.735890811941239,0.09892114434164646
-162.31714285714284,0.7357350583311135,0.09924244388081055
-162.11285714285714,0.7340217686197329,0.10277673881161689
-157.77428571428572,0.697635329085025,0.1778372542302143
-156.85714285714286,0.6899434969542109,0.19370450839509412
-156.77142857142857,0.6896901651641235,0.19549359068031968
-156.75428571428571,0.689639498806106,0.1958514071373648
-156.5657142857143,0.6890821688679138,0.1997873881648604
-152.12642857142856,0.6759616932396391,0.2924469415204978
-151.2857142857143,0.6734769305985323,0.30999485693475054
-151.20714285714286,0.673337677934026,0.31185436375720693
-151.19142857142856,0.6733098274011248,0.3122262651216983
-151.01857142857145,0.673003471539211,0.3163171801311005
-146.47857142857143,0.6649571993973773,0.42376286525409573
-145.71428571428572,0.6636026507517256,0.44185079525434795
-145.64285714285714,0.663418788760593,0.4436778392692238
-145.62857142857143,0.6633820163623665,0.44404324807219864
-145.47142857142856,0.6629775199818748,0.4480627449049251
-140.8307142857143,0.6510320064179915,0.5667657945513856
-140.14285714285714,0.6492614154433848,0.584360228414637
-140.07857142857142,0.6489782335070201,0.5860662854536882
-140.06571428571428,0.6489215971197473,0.5864074968614984
-139.9242857142857,0.6482985968597451,0.5901608223474111
-135.18285714285716,0.6274123558198754,0.7159920070720934
-134.57142857142858,0.624718980958452,0.7322185051324022
-134.5142857142857,0.6243328747014926,0.733733471991459
-134.50285714285712,0.6242556534501006,0.7340364653632705
-134.37714285714284,0.6234062196847902,0.7373693924531941
-129.535,0.590688540735701,0.865743896672474
-129.00000000000003,0.5870736209049197,0.8799277738903873
-128.95,0.5866083777347474,0.8812028128467146
-128.94,0.586515329100713,0.8814578206379797
-128.83,0.5854917941263349,0.8842629063418972
-123.88714285714285,0.5394991835893382,1.0103096145958705
-123.42857142857143,0.5352322390857615,1.022003543309606
-123.38571428571427,0.5347259587923407,1.0230125980968656
-123.37714285714286,0.5346247027336568,1.0232144090543174
-123.28285714285715,0.5335108860881319,1.0254343295862878
-118.23928571428571,0.4739301335574312,1.1441832604669302
-117.85714285714286,0.4694158009410986,1.1531806656533263
-117.82142857142858,0.46891232719106657,1.1539206035964005
-117.81428571428572,0.46881163244106,1.1540685911850157
-117.73571428571427,0.46770399019098896,1.1556964546597797
-112.59142857142858,0.3951836312363593,1.2622771159802142
-112.28571428571429,0.3908738959360841,1.268610984772931
-112.25714285714285,0.3904165142779707,1.269100391028983
-112.25142857142856,0.39032503794634793,1.2691982722801936
-112.18857142857142,0.38931879829849875,1.2702749660435078
-106.94357142857142,0.30535496041035237,1.3601177194982366
-106.71428571428571,0.3016844726039934,1.3640452047030531
-106.69285714285714,0.3013110203072049,1.3643219236487663
-106.68857142857142,0.3012363298478472,1.3643772674379089
-106.64142857142858,0.30041473479491276,1.3649860491184778
-101.29571428571428,0.20725083515608023,1.4340182021090624
-101.14285714285715,0.2045868754389893,1.435992130588483
-101.12857142857143,0.20432595043029006,1.436109713041389
-101.12571428571428,0.20427376542855005,1.43613322953197
-101.0942857142857,0.20369973040941183,1.4363919109283625
-95.64785714285713,0.10422207084286468,1.4812202210986567
-95.57142857142857,0.10282612204632441,1.4818492872217022
-95.5642857142857,0.10269429368472638,1.4818725573662899
-95.56285714285714,0.10266792801240698,1.4818772113952072
-95.54714285714286,0.10237790561689178,1.4819284057132998
-90.0,6.429395695523604e-17,1.5
-84.45285714285714,-0.10237790561689178,1.4819284057132998
-84.43714285714286,-0.10266792801240698,1.4818772113952072
-84.43571428571428,-0.10269429368472664,1.4818725573662896
-84.42857142857143,-0.10282612204632441,1.4818492872217022
-84.35214285714287,-0.1042220708428647,1.4812202210986567
-78.90571428571428,-0.20369973040941214,1.4363919109283627
-78.87428571428572,-0.2042737654285501,1.4361332295319704
-78.87142857142857,-0.20432595043029012,1.4361097130413891
-78.85714285714286,-0.2045868754389891,1.4359921305884835
-78.70428571428572,-0.20725083515608025,1.4340182021090626
-73.35857142857142,-0.30041473479491276,1.3649860491184778
-73.31142857142858,-0.3012363298478472,1.3643772674379089
-73.30714285714286,-0.3013110203072049,1.3643219236487663
-73.28571428571429,-0.3016844726039934,1.3640452047030531
-73.05642857142857,-0.30535496041035265,1.3601177194982363
-67.81142857142858,-0.3893187982984988,1.2702749660435078
-67.74857142857144,-0.390325037946348,1.2691982722801936
-67.74285714285715,-0.39041651427797075,1.269100391028983
-67.71428571428572,-0.39087389593608396,1.2686109847729312
-67.40857142857142,-0.39518363123635936,1.2622771159802142
-62.264285714285705,-0.46770399019098924,1.1556964546597792
-62.18571428571429,-0.4688116324410598,1.154068591185016
-62.17857142857142,-0.46891232719106635,1.1539206035964007
-62.142857142857146,-0.46941580094109836,1.1531806656533266
-61.76071428571429,-0.47393013355743097,1.1441832604669304
-56.71714285714285,-0.5335108860881318,1.0254343295862878
-56.62285714285714,-0.5346247027336568,1.0232144090543174
-56.614285714285714,-0.534725958792341,1.0230125980968654
-56.57142857142857,-0.5352322390857615,1.022003543309606
-56.11285714285714,-0.5394991835893383,1.0103096145958703
-51.169999999999995,-0.5854917941263349,0.8842629063418972
-51.059999999999995,-0.5865153291007131,0.8814578206379793
-51.05,-0.5866083777347475,0.881202812846714
-51.0,-0.5870736209049194,0.8799277738903878
-50.464999999999996,-0.590688540735701,0.8657438966724734
-45.622857142857136,-0.6234062196847905,0.7373693924531937
-45.497142857142855,-0.6242556534501009,0.73403646536327
-45.48571428571429,-0.6243328747014927,0.7337334719914589
-45.42857142857143,-0.624718980958452,0.7322185051324026
