r,r_R,alpha_deg,Cl,Cd,a,a_prime,F,converged
0.12400000000000001,0.049600000000000005,50.64304009244132,0.0,0.9,0.16021790691314589,-0.16021790691314589,0.47652962077463545,True
0.17200000000000001,0.0688,43.578063163990194,0.0,0.9,0.09460189766882052,-0.09364258524047862,0.6734223853660685,True
0.22000000000000003,0.08800000000000001,37.375812159717015,0.0,0.9,0.07059981211426279,-0.07059981211426278,0.75772274425403,True
0.268,0.1072,28.70730437827029,0.8059513609178337,0.38757752965154757,0.07588659798826194,0.03589247008918917,0.8215349239750914,True
0.316,0.1264,24.233976956910865,0.8486057812126246,0.26596214276188435,0.07000368066087204,0.03372129815363532,0.8590294878421226,True
0.364,0.1456,20.35132181204881,0.8787480713639034,0.18877788618812652,0.06888858694079933,0.030650013195259042,0.8877556477476741,True
0.41200000000000003,0.1648,16.129333707881234,1.0168181497900475,0.10198475454387954,0.08999538938179256,0.03826365691260838,0.9142311919439917,True
0.46,0.184,11.23352355439005,1.1644392890660638,0.03950541825090914,0.14764779777080286,0.05373464756843456,0.9409522292433501,True
0.508,0.2032,7.699811496527569,1.027619692794451,0.022044438837526818,0.19106952322066287,0.05635069750059428,0.9594714037231636,True
0.556,0.22240000000000001,6.075812727058247,0.8982539726753421,0.018494915280456714,0.23832802303355094,0.05374583174359987,0.9735441147635551,True
0.604,0.24159999999999998,4.954919134812503,0.7956391548001458,0.01562211595248055,0.2742435589901845,0.04992697839725208,0.9828453341877157,True
0.652,0.26080000000000003,4.305953591216866,0.7335457891532604,0.014043565375799498,0.2973194278385737,0.04491117293955471,0.9885994436796347,True
0.7,0.27999999999999997,4.139227482412066,0.7169798819410442,0.013611333112448202,0.3036245291353588,0.0393915446069946,0.9918491792300892,True
0.748,0.2992,4.134726500836865,0.717028996353957,0.013588482937945201,0.3035805902834119,0.03450994002976551,0.9939762455773112,True
0.796,0.3184,4.128807274840261,0.7168396293918435,0.013568720366335461,0.30369493329472147,0.030339431499438893,0.9955558002377258,True
0.844,0.3376,4.122463072840403,0.7165492556694933,0.01355107244338038,0.3037545266569681,0.026956329412347546,0.9967249985757068,True
0.892,0.3568,4.11597717408318,0.7161687927832749,0.01353641262498091,0.30392547019422544,0.023976032507030728,0.9975881779870954,True
