v_inf,rpm,pitch_deg,torque_Nm,thrust_N,power_W,Cp,Ct,non_converged
2.0,193.0,0.0,-11.730091686352347,8.10646989619229,-237.07585948271313,-2.464117219554833,0.16851392718428038,0
3.0,193.0,0.0,-5.420536004957497,93.66896894500614,-109.55398018989446,-0.3373870533294784,0.8654007102066337,0
4.0,193.0,0.0,6.413430550812391,164.73759762722344,129.62128521429753,0.16840708793289677,0.8561241787904096,0
5.0,193.0,0.0,26.05478128923218,247.1817201415428,526.5909110468046,0.3502896963097642,0.8221297392845645,0
6.0,193.0,0.0,53.928563908274796,334.0482181621251,1089.9454992408855,0.4195802603899031,0.7715617255552589,0
7.0,193.0,0.0,89.82619467478874,421.3708175786125,1815.4693821672292,0.4401075570190953,0.7150433825085892,0
8.0,193.0,0.0,131.26055190444168,499.37716261622535,2652.8955604947732,0.43083820608090545,0.6488028073271632,0
9.0,193.0,0.0,171.29504103803995,557.18100203158,3462.0291268881138,0.3948818802948535,0.5719726966887543,0
10.0,193.0,0.0,204.96762168583848,593.1793594955353,4142.582716027214,0.3444571514372077,0.4932306400851531,0
11.0,193.0,0.0,231.42299470090825,617.1991927777325,4677.269951488524,0.2921987795525453,0.4241348864082199,0
12.0,193.0,0.0,248.9953522236828,629.649246810382,5032.423335983916,0.2421572334551311,0.36358019063568653,0
13.0,193.0,0.0,258.4052225996375,635.1266580859863,5222.605405029116,0.19766108450612754,0.31249110087789067,0
14.0,193.0,0.0,261.728410824485,638.2417657001129,5289.770072253772,0.16029379278991088,0.27076539948054246,0
15.0,193.0,0.0,263.94999003331657,645.3097527621247,5334.670215784231,0.13143100133601515,0.2384787724829048,0
16.0,193.0,0.0,266.4704794663018,657.974336371796,5385.611607771584,0.10932993736606343,0.21371401645138935,0
17.0,193.0,0.0,269.51278261985703,675.6939505317441,5447.099331330918,0.09218973100438718,0.1944089277210008,0
18.0,193.0,0.0,273.35046291957303,698.3697412291026,5524.662352985182,0.07876843961961139,0.17922740667762274,0
19.0,193.0,0.0,277.89047443466046,725.3772779673498,5616.420129546557,0.06808678086623217,0.16707857496258782,0
20.0,193.0,0.0,282.7770252510561,755.1444900971273,5715.181781686993,0.05940241183505178,0.1569762982498829,0
