lambda,0.0,1.25,2.5,3.75,5.0,6.25,7.5,8.75,10.0,11.25,12.5,13.75,15.0,16.25,17.5,18.75,20.0,21.25,22.5,23.75,25.0,26.25,27.5,28.75,30.0
1.0,0.006763415252064793,0.00785913427033555,0.008923711418649526,0.009957056469854151,0.010969370476049707,0.011959111027336183,0.012916145629121318,0.013827213652457853,0.01472203457879574,0.015598179622716925,0.01644173919221253,0.017240249188667244,0.018017823078339684,0.018769226348736477,0.0195055631853134,0.020212811402695194,0.02089050361297294,0.021557560914904832,0.02222429025112733,0.02287185445835304,0.023509870533418593,0.024170091152850057,0.02486218476409488,0.025598307187678217,0.026383892368443847
1.375,0.012464814658143732,0.014213991294063491,0.015906939407878292,0.017554426972707836,0.01916496293057919,0.020727159240300018,0.022239778107397568,0.023705499777679568,0.025133142221925708,0.026529194329389744,0.027890891502809583,0.029216129334497375,0.03053181257746772,0.03184008626362159,0.03316806112524523,0.034520113285559026,0.0359292624977771,0.03740968656451189,0.03889405261445427,0.04024315278791067,0.0414247724566459,0.04213400589489621,0.04231221270862468,0.04215629306613577,0.04132291289231854
1.75,0.021219274950866025,0.02386320256711007,0.026435048603638215,0.028933399755381835,0.031376889578080824,0.03377959219343089,0.03613380575757024,0.03844755007921521,0.040740033506632765,0.043056918893558296,0.04540504003517261,0.047843239791224665,0.05039902789199065,0.05291388534200303,0.05529768635581673,0.057483454510251594,0.05880289280185881,0.05946614592849362,0.05925028782561886,0.05748942405664914,0.05463829506109084,0.05116323486914607,0.04736268007130964,0.04346700064475793,0.03910736127610517
2.125,0.034090080372249455,0.03797586230292462,0.041796156394313375,0.04554648660905566,0.04925264515009365,0.052949789770001796,0.05667963591692432,0.06054675284367672,0.06456917301431933,0.06863466777153013,0.0725973586754531,0.07625673646617909,0.07871476800116312,0.08005607464495113,0.07992292212306099,0.07768656939236704,0.0734326547754722,0.06857413614005742,0.06328136714512489,0.05764807935719205,0.051406094694156114,0.04452193262319081,0.03743398438517524,0.030599083360183684,0.023173126126914936
2.5,0.05227537211736104,0.05788935530816057,0.06346565509422689,0.0690682411265253,0.07486295143777737,0.0808624065965931,0.08697492705412786,0.09298564937325607,0.09838939801844347,0.10221689779751433,0.10433977688678962,0.10428233813550233,0.10136685760634485,0.09562173817786904,0.08891866597153623,0.08180174557788734,0.0741160550585267,0.06559890352608312,0.05648841334139847,0.04690735501670366,0.0376094979004222,0.02742486811467221,0.01612621415383644,0.003965950767390512,-0.00840184831580674
2.875,0.07700986480023075,0.08512653771244294,0.09350368344086514,0.10212780381255443,0.11082950795559442,0.1191775210416541,0.12618610220465928,0.1306425269462177,0.1325972022574751,0.13147284460155606,0.12641997214464423,0.1184172697249224,0.10966740311926075,0.09999136449746097,0.0896350800300437,0.07835386029654831,0.06624633036929505,0.05373247255234237,0.040847757091583795,0.027062060772836495,0.01209982186297257,-0.0036981582640354354,-0.019654381266511253,-0.03423989355164105,-0.04802975472920755
3.25,0.11021842716105341,0.12199455537638276,0.13395105109278102,0.14540920892832754,0.15482104678201036,0.16113831818075772,0.16410515456652874,0.16323980917542186,0.15778322966997718,0.14809633049759824,0.13772331430746143,0.1259666285199654,0.11310708094073602,0.09894694437310457,0.08371329773320613,0.06720054400579369,0.05053528284367219,0.03297310824457389,0.014070030035819773,-0.005684383501735152,-0.026075864965952354,-0.045163775589328,-0.06321457476838098,-0.08049712340248281,-0.09714879264701684
3.625,0.15306347299320025,0.16869556536156846,0.18204411571508214,0.19174651535660336,0.1974896852026264,0.19847429484402448,0.19480617692760385,0.18565820853639792,0.17353621052272866,0.16023400755574094,0.14465807631194624,0.12724716326099128,0.10820208203409591,0.08766238638665293,0.06669271733787943,0.04516502761482223,0.022587641238437452,-0.001230317331727372,-0.025954260310558527,-0.050713434324023345,-0.07412632245123665,-0.0966275606813711,-0.11848201413177285,-0.13955205158488174,-0.15809748252011635
4.0,0.20434517008535333,0.2195930221342136,0.22989473420762846,0.2351462175237393,0.23480245850711243,0.22846282036384583,0.21606541403635685,0.20132223067193633,0.18383685749271253,0.16345856666638323,0.1407741754223698,0.11638008702462092,0.09108402297628751,0.06581211583101443,0.03947894443220577,0.011603503393574341,-0.017531786651090585,-0.047605012034264635,-0.07753894475043108,-0.10600980166048247,-0.13368651120050123,-0.16070762733887817,-0.18654916551366182,-0.2086678045125878,-0.2272414109685652
