lambda,pitch_deg,v_inf,rpm,Cp,Ct,power_W,thrust_N,non_converged
1.0,0.0,8.0,30.557749073643905,0.006763415252064793,0.08835884544059526,41.645875511365276,68.00893743038327,0
1.152542372881356,0.0,8.0,35.219100627250604,0.008782989591551767,0.09196224849727865,54.08144813165433,70.78244145022916,0
1.305084745762712,0.0,8.0,39.8804521808573,0.011196166204042629,0.09607096257141141,68.94063525018167,73.9448784082233,0
1.457627118644068,0.0,8.0,44.541803734464,0.014099633376916564,0.10080458261644169,86.81879708505184,77.58829936801966,0
1.6101694915254239,0.0,8.0,49.2031552880707,0.017528380164790688,0.10608734741288779,107.93137949586954,81.65439166143334,0
1.7627118644067798,0.0,8.0,53.864506841677404,0.021583404116608366,0.11208452798817546,132.90027707190524,86.27036277863925,0
1.9152542372881356,0.0,8.0,58.52585839528409,0.0263317027003053,0.11876713254053456,162.13802816918772,91.41389801393083,0
2.0677966101694913,0.0,8.0,63.18720994889078,0.031818592285443335,0.12621905806872086,195.92366931217464,97.14957206507066,0
2.2203389830508478,0.0,8.0,67.84856150249749,0.03816396907988013,0.13447824955706167,234.99546399063172,103.50659081463957,0
2.3728813559322033,0.0,8.0,72.50991305610418,0.045444247598196055,0.1436760829597884,279.82393622872036,110.5860730471421,0
2.5254237288135597,0.0,8.0,77.17126460971089,0.053730764147482825,0.15388784307961823,330.8483408782959,118.44596473744835,0
2.6779661016949152,0.0,8.0,81.83261616331758,0.06311487436643964,0.1651971234020456,388.63120225802516,127.15060697213809,0
2.830508474576271,0.0,8.0,86.49396771692427,0.07368337818258582,0.1775728354321129,453.7069927965765,136.67607124130566,0
2.983050847457627,0.0,8.0,91.15531927053098,0.08557516433765172,0.19121040294355868,526.9309229212956,147.1727733084699,0
3.135593220338983,0.0,8.0,95.81667082413767,0.09904402109112066,0.2065770502439656,609.8656993220402,159.00033114443954,0
3.288135593220339,0.0,8.0,100.47802237774437,0.11414153918222529,0.22374842400217784,702.8289930900487,172.21696924889636,0
3.440677966101695,0.0,8.0,105.13937393135106,0.13083355326473003,0.2426333038772117,805.6104303678686,186.75247621933272,0
3.593220338983051,0.0,8.0,109.80072548495777,0.1490645228809901,0.2632221167239584,917.8680195878209,202.599483699774,0
3.745762711864407,0.0,8.0,114.46207703856447,0.16884994645983162,0.2854132403024168,1039.6971926601846,219.67977404797614,0
3.898305084745763,0.0,8.0,119.12342859217117,0.1899003896941807,0.30891296604150753,1169.315751587071,237.76728265508518,0
