lambda,Cp_beta_0,Ct_beta_0,Cp_beta_3,Ct_beta_3,Cp_beta_6,Ct_beta_6,Cp_beta_10,Ct_beta_10,Cp_beta_15,Ct_beta_15,Cp_beta_20,Ct_beta_20
1.0,0.006763415252064793,0.08835884544059526,0.009339700579381197,0.08524921736629165,0.01176304717615633,0.08175245454868653,0.01472203457879574,0.0766455106347882,0.018017823078339684,0.06989729896779975,0.02089050361297294,0.06295054761897238
1.152542372881356,0.008782989591551767,0.09196224849727865,0.011921700021124701,0.08847159335928148,0.014869673059811165,0.0847180298482518,0.018482088448064118,0.07930641605283174,0.022504097431990562,0.07228567354752892,0.02612281655698043,0.0653794274371858
1.305084745762712,0.011196166204042629,0.09607096257141141,0.01499212392859376,0.0922958758550311,0.018526217688562028,0.08824002248724457,0.022865863076071132,0.08257202739935647,0.027779512669953505,0.07544068422457514,0.0324912366132504,0.0690070052388897
1.457627118644068,0.014099633376916564,0.10080458261644169,0.018608938867808865,0.09671607598122199,0.02283650500534084,0.09241906890678518,0.028045025555158285,0.08657553398406631,0.03409800843533735,0.07959127503567003,0.04049558408358652,0.07433594358333476
1.6101694915254239,0.017528380164790688,0.10608734741288779,0.02288710518738613,0.10179252011908017,0.027897845090924706,0.09733953966727776,0.03416036172393888,0.09146099959301897,0.04180497073440347,0.08515899823762371,0.049883525622737866,0.08108062269099965
1.7627118644067798,0.021583404116608366,0.11208452798817546,0.02788670823668671,0.10754833930723544,0.033832817637030374,0.1030323758918558,0.04139407189353786,0.09740195780149628,0.05126224491786415,0.09250260480382777,0.05958697235455076,0.0884791709401344
1.9152542372881356,0.0263317027003053,0.11876713254053456,0.033718483884196696,0.114129225750196,0.04077098615933575,0.10966200224680857,0.04997852853135106,0.10462210841432668,0.06229456120220896,0.10139014279778913,0.06799561894410697,0.09495221798909087
2.0677966101694913,0.031818592285443335,0.12621905806872086,0.040496785076047995,0.12159643400365071,0.04884500817643599,0.11739993641731886,0.060224385467516815,0.11351028647438265,0.07442001131568189,0.11148420281421373,0.07273724047887731,0.0983764454273453
2.2203389830508478,0.03816396907988013,0.13447824955706167,0.04830749899454896,0.1300449507754898,0.058229982424329245,0.12634767314527043,0.07233282689224982,0.12428534771057277,0.08574546694183476,0.1210933030083152,0.0743513645097776,0.09924247221155097
2.3728813559322033,0.045444247598196055,0.1436760829597884,0.05725645437220195,0.13960156829122594,0.06916152468600288,0.13683044682760961,0.08607893751360815,0.1366571594330624,0.09551646637908066,0.1295504202998474,0.07471017398908493,0.09893644438512642
