r,chord,twist,airfoil
0,0.12,30.4,cylinder
0.034,0.13,30.4,cba
0.068,0.15,30.4,cba
0.102,0.2,30.4,cba
0.136,0.25,30,cba
0.17,0.28,29,cba
0.204,0.31,26.5,cba
0.238,0.32,23.5,cba
0.272,0.31,21.3,cba
0.306,0.3,19.5,cba
0.34,0.3,17.9,cba
0.374,0.29,16.3,cba
0.408,0.29,14.9,cba
0.442,0.29,13.6,cba
0.476,0.28,12.5,cba
0.51,0.28,11.3,cba
0.544,0.28,10.3,cba
0.578,0.27,9.3,cba
0.612,0.27,8.4,cba
0.646,0.27,7.6,cba
0.68,0.26,6.8,cba
0.714,0.26,6.2,cba
0.748,0.26,5.7,cba
0.782,0.25,5.2,cba
0.816,0.25,4.9,cba
0.85,0.25,4.6,cba
0.884,0.24,4.2,cba
0.918,0.24,3.9,cba
0.952,0.23,3.6,cba
0.986,0.23,3.3,cba
1.02,0.23,3.1,cba
1.054,0.22,2.8,cba
1.088,0.22,2.5,cba
1.122,0.22,2.3,cba
1.156,0.21,2.1,cba
1.19,0.21,1.8,cba
1.224,0.2,1.7,cba
1.258,0.2,1.5,cba
1.292,0.2,1.4,cba
1.326,0.19,1.2,cba
1.36,0.19,1.1,cba
1.394,0.19,1,cba
1.428,0.18,0.9,cba
1.462,0.18,0.9,cba
1.496,0.18,0.8,cba
1.53,0.17,0.7,cba
1.564,0.17,0.5,cba
1.598,0.17,0.4,cba
1.632,0.16,0.3,cba
1.666,0.16,0.2,cba
1.7,0.16,0.1,cba
1.734,0.15,0.1,cba
1.768,0.15,0.1,cba
1.802,0.15,0,cba
1.836,0.14,0,cba
1.87,0.14,0,cba
1.904,0.14,0,cba
1.938,0.13,0,cba
1.972,0.13,0,cba
2.006,0.13,0,cba
2.04,0.12,0,cba
2.074,0.12,0,cba
2.108,0.11,0,cba
2.142,0.11,0,cba
2.176,0.11,0,cba
2.21,0.1,0,cba
2.244,0.1,0,cba
2.278,0.1,0,cba
2.312,0.09,0,cba
