r,chord,twist,airfoil
0,0.122,23.7,cylinder
0.102,0.159,28.6,cba
0.128,0.246,30.3,cba
0.153,0.286,29.1,cba
0.179,0.309,27.4,cba
0.204,0.316,26.1,cba
0.23,0.314,24.5,cba
0.256,0.309,22.8,cba
0.281,0.304,21.2,cba
0.307,0.301,19.5,cba
0.332,0.297,18.3,cba
0.358,0.294,17.2,cba
0.383,0.292,16.3,cba
0.409,0.289,15.1,cba
0.435,0.286,14.2,cba
0.46,0.283,13,cba
0.486,0.28,12.4,cba
0.511,0.277,11.6,cba
0.537,0.275,10.6,cba
0.562,0.272,10,cba
0.588,0.27,9.5,cba
0.613,0.267,8.8,cba
0.639,0.265,8.2,cba
0.665,0.263,7.5,cba
0.69,0.261,7.2,cba
0.716,0.259,6.8,cba
0.741,0.257,6.5,cba
0.767,0.254,6.2,cba
0.792,0.252,6,cba
0.818,0.249,5.7,cba
0.844,0.243,5.5,cba
0.869,0.241,5,cba
0.895,0.238,4.8,cba
0.92,0.235,4.8,cba
0.946,0.233,4.5,cba
0.971,0.23,4.1,cba
0.997,0.227,4.2,cba
1.022,0.225,3.7,cba
1.048,0.222,3.5,cba
1.074,0.219,3.5,cba
1.099,0.216,3.2,cba
1.125,0.214,3,cba
1.15,0.211,3,cba
1.176,0.208,2.8,cba
1.201,0.205,2.6,cba
1.227,0.203,2.4,cba
1.253,0.2,2.3,cba
1.278,0.197,2.2,cba
1.304,0.195,2.2,cba
1.329,0.192,1.9,cba
1.355,0.189,2.1,cba
1.38,0.187,1.8,cba
1.406,0.184,1.7,cba
1.431,0.181,1.7,cba
1.457,0.178,1.8,cba
1.483,0.178,1.5,cba
1.508,0.173,1.4,cba
1.534,0.171,1.3,cba
1.559,0.168,1.3,cba
1.585,0.165,1.3,cba
1.61,0.163,1,cba
1.636,0.16,1,cba
1.662,0.158,0.9,cba
1.687,0.155,0.6,cba
1.713,0.153,0.5,cba
1.738,0.15,0.4,cba
1.764,0.147,0.5,cba
1.789,0.145,0.6,cba
1.815,0.142,0.4,cba
1.84,0.14,0.4,cba
1.866,0.137,0.4,cba
1.892,0.134,0.4,cba
1.917,0.132,0.3,cba
1.943,0.129,0.3,cba
1.968,0.126,0.1,cba
1.993,0.123,0.4,cba
2.019,0.121,0.3,cba
2.021,0.112,0.5,cba
2.045,0.118,0.3,cba
2.047,0.109,0.6,cba
2.071,0.115,0.4,cba
2.072,0.106,0.9,cba
2.098,0.103,0.5,cba
2.123,0.1,0.8,cba
2.047,0.097,0,cba
2.044,0.094,0,cba
2.275,0.092,0,cba
