alpha,cl,cd
-16.250,-0.9106,0.08781
-16.000,-0.9270,0.08265
-15.750,-0.9276,0.08006
-15.500,-0.9277,0.07732
-15.250,-0.9263,0.07471
-15.000,-0.9289,0.07161
-14.750,-0.9329,0.06840
-14.500,-0.9366,0.06533
-14.250,-0.9419,0.06213
-14.000,-0.9466,0.05907
-13.750,-0.9507,0.05621
-13.500,-0.9545,0.05351
-13.250,-0.9598,0.05070
-13.000,-0.9642,0.04818
-12.750,-0.9691,0.04583
-12.500,-0.9735,0.04373
-12.250,-0.9804,0.04178
-12.000,-0.9879,0.04016
-11.750,-0.9979,0.03861
-11.500,-0.9790,0.03674
-11.250,-0.9540,0.03485
-11.000,-0.9278,0.03308
-10.750,-0.9038,0.03142
-10.500,-0.8761,0.02989
-10.250,-0.8454,0.02844
-10.000,-0.8257,0.02699
-9.750,-0.7963,0.02564
-9.500,-0.7764,0.02430
-9.250,-0.7483,0.02304
-9.000,-0.7274,0.02184
-8.750,-0.6961,0.02069
-8.500,-0.6606,0.01970
-8.250,-0.6333,0.01843
-8.000,-0.5920,0.01741
-7.750,-0.5567,0.01668
-7.500,-0.5171,0.01606
-7.250,-0.4825,0.01557
-7.000,-0.4461,0.01514
-6.750,-0.4179,0.01483
-6.500,-0.3902,0.01446
-6.250,-0.3636,0.01396
-6.000,-0.3382,0.01365
-5.750,-0.3116,0.01341
-5.250,-0.2584,0.01295
-5.000,-0.2316,0.01268
-4.750,-0.2047,0.01250
-4.500,-0.1771,0.01239
-4.250,-0.1501,0.01214
-4.000,-0.1228,0.01196
-3.750,-0.0947,0.01187
-3.500,-0.0671,0.01172
-3.250,-0.0391,0.01157
-3.000,-0.0111,0.01148
-2.750,0.0173,0.01141
-2.500,0.0453,0.01125
-2.250,0.0737,0.01119
-2.000,0.1022,0.01116
-1.750,0.1305,0.01102
-1.500,0.1591,0.01096
-1.250,0.1876,0.01095
-1.000,0.2163,0.01086
-0.750,0.2448,0.01080
-0.500,0.2736,0.01083
-0.250,0.3021,0.01073
0.000,0.3309,0.01073
0.250,0.3595,0.01073
0.500,0.3882,0.01067
0.750,0.4169,0.01070
1.000,0.4455,0.01067
1.250,0.4744,0.01072
1.500,0.5028,0.01072
1.750,0.5314,0.01072
2.000,0.5600,0.01080
2.250,0.5884,0.01077
2.500,0.6169,0.01086
2.750,0.6448,0.01084
3.000,0.6726,0.01089
3.250,0.7003,0.01095
3.500,0.7279,0.01098
3.750,0.7554,0.01106
4.000,0.7826,0.01109
4.250,0.8096,0.01118
4.500,0.8365,0.01123
4.750,0.8631,0.01133
5.000,0.8894,0.01140
5.250,0.9155,0.01150
5.500,0.9407,0.01161
5.750,0.9662,0.01171
6.000,0.9905,0.01186
6.250,1.0146,0.01199
6.500,1.0382,0.01215
6.750,1.0608,0.01233
7.000,1.0820,0.01256
7.250,1.1002,0.01281
7.500,1.1154,0.01316
7.750,1.1312,0.01354
8.000,1.1448,0.01407
8.250,1.1573,0.01466
8.500,1.1677,0.01538
8.750,1.1766,0.01617
9.000,1.1866,0.01695
9.250,1.1960,0.01776
9.500,1.2055,0.01861
9.750,1.2153,0.01946
10.000,1.2245,0.02038
10.500,1.2428,0.02236
10.750,1.2518,0.02342
11.000,1.2599,0.02460
11.250,1.2667,0.02591
11.500,1.2757,0.02713
11.750,1.2827,0.02854
12.000,1.2899,0.03000
12.250,1.2970,0.03152
12.500,1.3030,0.03318
12.750,1.3094,0.03487
13.000,1.3150,0.03665
13.250,1.3192,0.03857
13.500,1.3240,0.04037
13.750,1.3192,0.04220
14.000,1.3257,0.04431
14.250,1.3301,0.04669
14.500,1.3316,0.04943
14.750,1.3371,0.05181
15.000,1.3395,0.05459
15.250,1.3388,0.05782
15.500,1.3432,0.06054
15.750,1.3451,0.06360
16.000,1.3430,0.06724
16.250,1.3421,0.07084
16.500,1.3446,0.07406
16.750,1.3457,0.07751
17.000,1.3442,0.08141
17.250,1.3390,0.08592
17.500,1.3353,0.09030
